# Energy Research Warehouse (ERW): SPP day-ahead market LMPs, trading hubs
# Shape: series (docs/datastandard.md v0). Units: USD/MWh. ts_utc is interval start, UTC.
# Window: SPP operating days 2026-09-23 to 2026-09-25 (America/Chicago), [2026-09-23T05:00:00Z, 2026-09-26T05:00:00Z)
# Forward DAM days also included (published before retrieval): 2026-09-26
# Retrieved: 20260926T173132Z (UTC) by warehouse/connectors/iso_prices.py via gridstatus 0.36.0
# Run log: warehouse/output/logs/spp_prices_20260926T173132Z.log (every source document, by name)
# Raw files: warehouse/raw/spp/20260926T173132Z/ (not in git; manifest.csv lists each file and URL)
# Source: spp:DA-LMP-SL Day-Ahead LMP by Settlement Location, https://portal.spp.org/pages/da-lmp-by-location
#   4 distinct file URL(s), publish time not given by source; per row: see source_url and vintage
# File holds 1536 rows, 2026-08-26T05:00:00Z to 2026-09-27T04:00:00Z. This run wrote 192 rows: 0 new, 192 replacing earlier rows with the same (entity, variable, ts_utc); 1344 rows are kept from earlier runs. Per row, source, source_url, retrieved_at and vintage say where it came from; earlier run logs are in warehouse/output/logs/.
entity,variable,ts_utc,value,unit,freq,geo,market,node,source,source_url,retrieved_at,vintage
spp:SPPNORTH_HUB,lmp_dam,2026-08-26T05:00:00Z,25.2612,USD/MWh,PT1H,"US-AR,US-IA,US-KS,US-LA,US-MN,US-MO,US-MT,US-NE,US-NM,US-ND,US-OK,US-SD,US-TX,US-WY",spp_dam,SPPNORTH_HUB,spp:DA-LMP-SL,https://portal.spp.org/file-browser-api/download/da-lmp-by-settlement-location?path=/2026/08/By_Day/DA-LMP-SL-202608260100.csv,2026-09-25T06:59:56Z,
spp:SPPNORTH_HUB,lmp_dam,2026-08-26T06:00:00Z,22.7256,USD/MWh,PT1H,"US-AR,US-IA,US-KS,US-LA,US-MN,US-MO,US-MT,US-NE,US-NM,US-ND,US-OK,US-SD,US-TX,US-WY",spp_dam,SPPNORTH_HUB,spp:DA-LMP-SL,https://portal.spp.org/file-browser-api/download/da-lmp-by-settlement-location?path=/2026/08/By_Day/DA-LMP-SL-202608260100.csv,2026-09-25T06:59:56Z,
spp:SPPNORTH_HUB,lmp_dam,2026-08-26T07:00:00Z,21.8402,USD/MWh,PT1H,"US-AR,US-IA,US-KS,US-LA,US-MN,US-MO,US-MT,US-NE,US-NM,US-ND,US-OK,US-SD,US-TX,US-WY",spp_dam,SPPNORTH_HUB,spp:DA-LMP-SL,https://portal.spp.org/file-browser-api/download/da-lmp-by-settlement-location?path=/2026/08/By_Day/DA-LMP-SL-202608260100.csv,2026-09-25T06:59:56Z,
spp:SPPNORTH_HUB,lmp_dam,2026-08-26T08:00:00Z,21.1016,USD/MWh,PT1H,"US-AR,US-IA,US-KS,US-LA,US-MN,US-MO,US-MT,US-NE,US-NM,US-ND,US-OK,US-SD,US-TX,US-WY",spp_dam,SPPNORTH_HUB,spp:DA-LMP-SL,https://portal.spp.org/file-browser-api/download/da-lmp-by-settlement-location?path=/2026/08/By_Day/DA-LMP-SL-202608260100.csv,2026-09-25T06:59:56Z,
spp:SPPNORTH_HUB,lmp_dam,2026-08-26T09:00:00Z,21.56,USD/MWh,PT1H,"US-AR,US-IA,US-KS,US-LA,US-MN,US-MO,US-MT,US-NE,US-NM,US-ND,US-OK,US-SD,US-TX,US-WY",spp_dam,SPPNORTH_HUB,spp:DA-LMP-SL,https://portal.spp.org/file-browser-api/download/da-lmp-by-settlement-location?path=/2026/08/By_Day/DA-LMP-SL-202608260100.csv,2026-09-25T06:59:56Z,
spp:SPPNORTH_HUB,lmp_dam,2026-08-26T10:00:00Z,24.6356,USD/MWh,PT1H,"US-AR,US-IA,US-KS,US-LA,US-MN,US-MO,US-MT,US-NE,US-NM,US-ND,US-OK,US-SD,US-TX,US-WY",spp_dam,SPPNORTH_HUB,spp:DA-LMP-SL,https://portal.spp.org/file-browser-api/download/da-lmp-by-settlement-location?path=/2026/08/By_Day/DA-LMP-SL-202608260100.csv,2026-09-25T06:59:56Z,
spp:SPPNORTH_HUB,lmp_dam,2026-08-26T11:00:00Z,26.3003,USD/MWh,PT1H,"US-AR,US-IA,US-KS,US-LA,US-MN,US-MO,US-MT,US-NE,US-NM,US-ND,US-OK,US-SD,US-TX,US-WY",spp_dam,SPPNORTH_HUB,spp:DA-LMP-SL,https://portal.spp.org/file-browser-api/download/da-lmp-by-settlement-location?path=/2026/08/By_Day/DA-LMP-SL-202608260100.csv,2026-09-25T06:59:56Z,
spp:SPPNORTH_HUB,lmp_dam,2026-08-26T12:00:00Z,26.5997,USD/MWh,PT1H,"US-AR,US-IA,US-KS,US-LA,US-MN,US-MO,US-MT,US-NE,US-NM,US-ND,US-OK,US-SD,US-TX,US-WY",spp_dam,SPPNORTH_HUB,spp:DA-LMP-SL,https://portal.spp.org/file-browser-api/download/da-lmp-by-settlement-location?path=/2026/08/By_Day/DA-LMP-SL-202608260100.csv,2026-09-25T06:59:56Z,
spp:SPPNORTH_HUB,lmp_dam,2026-08-26T13:00:00Z,31.0119,USD/MWh,PT1H,"US-AR,US-IA,US-KS,US-LA,US-MN,US-MO,US-MT,US-NE,US-NM,US-ND,US-OK,US-SD,US-TX,US-WY",spp_dam,SPPNORTH_HUB,spp:DA-LMP-SL,https://portal.spp.org/file-browser-api/download/da-lmp-by-settlement-location?path=/2026/08/By_Day/DA-LMP-SL-202608260100.csv,2026-09-25T06:59:56Z,
spp:SPPNORTH_HUB,lmp_dam,2026-08-26T14:00:00Z,31.076,USD/MWh,PT1H,"US-AR,US-IA,US-KS,US-LA,US-MN,US-MO,US-MT,US-NE,US-NM,US-ND,US-OK,US-SD,US-TX,US-WY",spp_dam,SPPNORTH_HUB,spp:DA-LMP-SL,https://portal.spp.org/file-browser-api/download/da-lmp-by-settlement-location?path=/2026/08/By_Day/DA-LMP-SL-202608260100.csv,2026-09-25T06:59:56Z,
spp:SPPNORTH_HUB,lmp_dam,2026-08-26T15:00:00Z,34.3431,USD/MWh,PT1H,"US-AR,US-IA,US-KS,US-LA,US-MN,US-MO,US-MT,US-NE,US-NM,US-ND,US-OK,US-SD,US-TX,US-WY",spp_dam,SPPNORTH_HUB,spp:DA-LMP-SL,https://portal.spp.org/file-browser-api/download/da-lmp-by-settlement-location?path=/2026/08/By_Day/DA-LMP-SL-202608260100.csv,2026-09-25T06:59:56Z,
spp:SPPNORTH_HUB,lmp_dam,2026-08-26T16:00:00Z,37.8578,USD/MWh,PT1H,"US-AR,US-IA,US-KS,US-LA,US-MN,US-MO,US-MT,US-NE,US-NM,US-ND,US-OK,US-SD,US-TX,US-WY",spp_dam,SPPNORTH_HUB,spp:DA-LMP-SL,https://portal.spp.org/file-browser-api/download/da-lmp-by-settlement-location?path=/2026/08/By_Day/DA-LMP-SL-202608260100.csv,2026-09-25T06:59:56Z,
spp:SPPNORTH_HUB,lmp_dam,2026-08-26T17:00:00Z,40.4466,USD/MWh,PT1H,"US-AR,US-IA,US-KS,US-LA,US-MN,US-MO,US-MT,US-NE,US-NM,US-ND,US-OK,US-SD,US-TX,US-WY",spp_dam,SPPNORTH_HUB,spp:DA-LMP-SL,https://portal.spp.org/file-browser-api/download/da-lmp-by-settlement-location?path=/2026/08/By_Day/DA-LMP-SL-202608260100.csv,2026-09-25T06:59:56Z,
spp:SPPNORTH_HUB,lmp_dam,2026-08-26T18:00:00Z,43.5294,USD/MWh,PT1H,"US-AR,US-IA,US-KS,US-LA,US-MN,US-MO,US-MT,US-NE,US-NM,US-ND,US-OK,US-SD,US-TX,US-WY",spp_dam,SPPNORTH_HUB,spp:DA-LMP-SL,https://portal.spp.org/file-browser-api/download/da-lmp-by-settlement-location?path=/2026/08/By_Day/DA-LMP-SL-202608260100.csv,2026-09-25T06:59:56Z,
spp:SPPNORTH_HUB,lmp_dam,2026-08-26T19:00:00Z,50.34,USD/MWh,PT1H,"US-AR,US-IA,US-KS,US-LA,US-MN,US-MO,US-MT,US-NE,US-NM,US-ND,US-OK,US-SD,US-TX,US-WY",spp_dam,SPPNORTH_HUB,spp:DA-LMP-SL,https://portal.spp.org/file-browser-api/download/da-lmp-by-settlement-location?path=/2026/08/By_Day/DA-LMP-SL-202608260100.csv,2026-09-25T06:59:56Z,
spp:SPPNORTH_HUB,lmp_dam,2026-08-26T20:00:00Z,55.5445,USD/MWh,PT1H,"US-AR,US-IA,US-KS,US-LA,US-MN,US-MO,US-MT,US-NE,US-NM,US-ND,US-OK,US-SD,US-TX,US-WY",spp_dam,SPPNORTH_HUB,spp:DA-LMP-SL,https://portal.spp.org/file-browser-api/download/da-lmp-by-settlement-location?path=/2026/08/By_Day/DA-LMP-SL-202608260100.csv,2026-09-25T06:59:56Z,
spp:SPPNORTH_HUB,lmp_dam,2026-08-26T21:00:00Z,63.112,USD/MWh,PT1H,"US-AR,US-IA,US-KS,US-LA,US-MN,US-MO,US-MT,US-NE,US-NM,US-ND,US-OK,US-SD,US-TX,US-WY",spp_dam,SPPNORTH_HUB,spp:DA-LMP-SL,https://portal.spp.org/file-browser-api/download/da-lmp-by-settlement-location?path=/2026/08/By_Day/DA-LMP-SL-202608260100.csv,2026-09-25T06:59:56Z,
spp:SPPNORTH_HUB,lmp_dam,2026-08-26T22:00:00Z,69.11,USD/MWh,PT1H,"US-AR,US-IA,US-KS,US-LA,US-MN,US-MO,US-MT,US-NE,US-NM,US-ND,US-OK,US-SD,US-TX,US-WY",spp_dam,SPPNORTH_HUB,spp:DA-LMP-SL,https://portal.spp.org/file-browser-api/download/da-lmp-by-settlement-location?path=/2026/08/By_Day/DA-LMP-SL-202608260100.csv,2026-09-25T06:59:56Z,
spp:SPPNORTH_HUB,lmp_dam,2026-08-26T23:00:00Z,70.9068,USD/MWh,PT1H,"US-AR,US-IA,US-KS,US-LA,US-MN,US-MO,US-MT,US-NE,US-NM,US-ND,US-OK,US-SD,US-TX,US-WY",spp_dam,SPPNORTH_HUB,spp:DA-LMP-SL,https://portal.spp.org/file-browser-api/download/da-lmp-by-settlement-location?path=/2026/08/By_Day/DA-LMP-SL-202608260100.csv,2026-09-25T06:59:56Z,
spp:SPPNORTH_HUB,lmp_dam,2026-08-27T00:00:00Z,65.0718,USD/MWh,PT1H,"US-AR,US-IA,US-KS,US-LA,US-MN,US-MO,US-MT,US-NE,US-NM,US-ND,US-OK,US-SD,US-TX,US-WY",spp_dam,SPPNORTH_HUB,spp:DA-LMP-SL,https://portal.spp.org/file-browser-api/download/da-lmp-by-settlement-location?path=/2026/08/By_Day/DA-LMP-SL-202608260100.csv,2026-09-25T06:59:56Z,
spp:SPPNORTH_HUB,lmp_dam,2026-08-27T01:00:00Z,48.5319,USD/MWh,PT1H,"US-AR,US-IA,US-KS,US-LA,US-MN,US-MO,US-MT,US-NE,US-NM,US-ND,US-OK,US-SD,US-TX,US-WY",spp_dam,SPPNORTH_HUB,spp:DA-LMP-SL,https://portal.spp.org/file-browser-api/download/da-lmp-by-settlement-location?path=/2026/08/By_Day/DA-LMP-SL-202608260100.csv,2026-09-25T06:59:56Z,
spp:SPPNORTH_HUB,lmp_dam,2026-08-27T02:00:00Z,40.0806,USD/MWh,PT1H,"US-AR,US-IA,US-KS,US-LA,US-MN,US-MO,US-MT,US-NE,US-NM,US-ND,US-OK,US-SD,US-TX,US-WY",spp_dam,SPPNORTH_HUB,spp:DA-LMP-SL,https://portal.spp.org/file-browser-api/download/da-lmp-by-settlement-location?path=/2026/08/By_Day/DA-LMP-SL-202608260100.csv,2026-09-25T06:59:56Z,
spp:SPPNORTH_HUB,lmp_dam,2026-08-27T03:00:00Z,33.8856,USD/MWh,PT1H,"US-AR,US-IA,US-KS,US-LA,US-MN,US-MO,US-MT,US-NE,US-NM,US-ND,US-OK,US-SD,US-TX,US-WY",spp_dam,SPPNORTH_HUB,spp:DA-LMP-SL,https://portal.spp.org/file-browser-api/download/da-lmp-by-settlement-location?path=/2026/08/By_Day/DA-LMP-SL-202608260100.csv,2026-09-25T06:59:56Z,
spp:SPPNORTH_HUB,lmp_dam,2026-08-27T04:00:00Z,28.2477,USD/MWh,PT1H,"US-AR,US-IA,US-KS,US-LA,US-MN,US-MO,US-MT,US-NE,US-NM,US-ND,US-OK,US-SD,US-TX,US-WY",spp_dam,SPPNORTH_HUB,spp:DA-LMP-SL,https://portal.spp.org/file-browser-api/download/da-lmp-by-settlement-location?path=/2026/08/By_Day/DA-LMP-SL-202608260100.csv,2026-09-25T06:59:56Z,
spp:SPPNORTH_HUB,lmp_dam,2026-08-27T05:00:00Z,26.1337,USD/MWh,PT1H,"US-AR,US-IA,US-KS,US-LA,US-MN,US-MO,US-MT,US-NE,US-NM,US-ND,US-OK,US-SD,US-TX,US-WY",spp_dam,SPPNORTH_HUB,spp:DA-LMP-SL,https://portal.spp.org/file-browser-api/download/da-lmp-by-settlement-location?path=/2026/08/By_Day/DA-LMP-SL-202608270100.csv,2026-09-25T06:59:58Z,
spp:SPPNORTH_HUB,lmp_dam,2026-08-27T06:00:00Z,23.9321,USD/MWh,PT1H,"US-AR,US-IA,US-KS,US-LA,US-MN,US-MO,US-MT,US-NE,US-NM,US-ND,US-OK,US-SD,US-TX,US-WY",spp_dam,SPPNORTH_HUB,spp:DA-LMP-SL,https://portal.spp.org/file-browser-api/download/da-lmp-by-settlement-location?path=/2026/08/By_Day/DA-LMP-SL-202608270100.csv,2026-09-25T06:59:58Z,
spp:SPPNORTH_HUB,lmp_dam,2026-08-27T07:00:00Z,23.1883,USD/MWh,PT1H,"US-AR,US-IA,US-KS,US-LA,US-MN,US-MO,US-MT,US-NE,US-NM,US-ND,US-OK,US-SD,US-TX,US-WY",spp_dam,SPPNORTH_HUB,spp:DA-LMP-SL,https://portal.spp.org/file-browser-api/download/da-lmp-by-settlement-location?path=/2026/08/By_Day/DA-LMP-SL-202608270100.csv,2026-09-25T06:59:58Z,
spp:SPPNORTH_HUB,lmp_dam,2026-08-27T08:00:00Z,22.4733,USD/MWh,PT1H,"US-AR,US-IA,US-KS,US-LA,US-MN,US-MO,US-MT,US-NE,US-NM,US-ND,US-OK,US-SD,US-TX,US-WY",spp_dam,SPPNORTH_HUB,spp:DA-LMP-SL,https://portal.spp.org/file-browser-api/download/da-lmp-by-settlement-location?path=/2026/08/By_Day/DA-LMP-SL-202608270100.csv,2026-09-25T06:59:58Z,
spp:SPPNORTH_HUB,lmp_dam,2026-08-27T09:00:00Z,22.6258,USD/MWh,PT1H,"US-AR,US-IA,US-KS,US-LA,US-MN,US-MO,US-MT,US-NE,US-NM,US-ND,US-OK,US-SD,US-TX,US-WY",spp_dam,SPPNORTH_HUB,spp:DA-LMP-SL,https://portal.spp.org/file-browser-api/download/da-lmp-by-settlement-location?path=/2026/08/By_Day/DA-LMP-SL-202608270100.csv,2026-09-25T06:59:58Z,
spp:SPPNORTH_HUB,lmp_dam,2026-08-27T10:00:00Z,24.3922,USD/MWh,PT1H,"US-AR,US-IA,US-KS,US-LA,US-MN,US-MO,US-MT,US-NE,US-NM,US-ND,US-OK,US-SD,US-TX,US-WY",spp_dam,SPPNORTH_HUB,spp:DA-LMP-SL,https://portal.spp.org/file-browser-api/download/da-lmp-by-settlement-location?path=/2026/08/By_Day/DA-LMP-SL-202608270100.csv,2026-09-25T06:59:58Z,
spp:SPPNORTH_HUB,lmp_dam,2026-08-27T11:00:00Z,26.564,USD/MWh,PT1H,"US-AR,US-IA,US-KS,US-LA,US-MN,US-MO,US-MT,US-NE,US-NM,US-ND,US-OK,US-SD,US-TX,US-WY",spp_dam,SPPNORTH_HUB,spp:DA-LMP-SL,https://portal.spp.org/file-browser-api/download/da-lmp-by-settlement-location?path=/2026/08/By_Day/DA-LMP-SL-202608270100.csv,2026-09-25T06:59:58Z,
spp:SPPNORTH_HUB,lmp_dam,2026-08-27T12:00:00Z,27.7526,USD/MWh,PT1H,"US-AR,US-IA,US-KS,US-LA,US-MN,US-MO,US-MT,US-NE,US-NM,US-ND,US-OK,US-SD,US-TX,US-WY",spp_dam,SPPNORTH_HUB,spp:DA-LMP-SL,https://portal.spp.org/file-browser-api/download/da-lmp-by-settlement-location?path=/2026/08/By_Day/DA-LMP-SL-202608270100.csv,2026-09-25T06:59:58Z,
spp:SPPNORTH_HUB,lmp_dam,2026-08-27T13:00:00Z,34.1106,USD/MWh,PT1H,"US-AR,US-IA,US-KS,US-LA,US-MN,US-MO,US-MT,US-NE,US-NM,US-ND,US-OK,US-SD,US-TX,US-WY",spp_dam,SPPNORTH_HUB,spp:DA-LMP-SL,https://portal.spp.org/file-browser-api/download/da-lmp-by-settlement-location?path=/2026/08/By_Day/DA-LMP-SL-202608270100.csv,2026-09-25T06:59:58Z,
spp:SPPNORTH_HUB,lmp_dam,2026-08-27T14:00:00Z,40.9969,USD/MWh,PT1H,"US-AR,US-IA,US-KS,US-LA,US-MN,US-MO,US-MT,US-NE,US-NM,US-ND,US-OK,US-SD,US-TX,US-WY",spp_dam,SPPNORTH_HUB,spp:DA-LMP-SL,https://portal.spp.org/file-browser-api/download/da-lmp-by-settlement-location?path=/2026/08/By_Day/DA-LMP-SL-202608270100.csv,2026-09-25T06:59:58Z,
spp:SPPNORTH_HUB,lmp_dam,2026-08-27T15:00:00Z,45.7658,USD/MWh,PT1H,"US-AR,US-IA,US-KS,US-LA,US-MN,US-MO,US-MT,US-NE,US-NM,US-ND,US-OK,US-SD,US-TX,US-WY",spp_dam,SPPNORTH_HUB,spp:DA-LMP-SL,https://portal.spp.org/file-browser-api/download/da-lmp-by-settlement-location?path=/2026/08/By_Day/DA-LMP-SL-202608270100.csv,2026-09-25T06:59:58Z,
spp:SPPNORTH_HUB,lmp_dam,2026-08-27T16:00:00Z,49.5218,USD/MWh,PT1H,"US-AR,US-IA,US-KS,US-LA,US-MN,US-MO,US-MT,US-NE,US-NM,US-ND,US-OK,US-SD,US-TX,US-WY",spp_dam,SPPNORTH_HUB,spp:DA-LMP-SL,https://portal.spp.org/file-browser-api/download/da-lmp-by-settlement-location?path=/2026/08/By_Day/DA-LMP-SL-202608270100.csv,2026-09-25T06:59:58Z,
spp:SPPNORTH_HUB,lmp_dam,2026-08-27T17:00:00Z,52.6624,USD/MWh,PT1H,"US-AR,US-IA,US-KS,US-LA,US-MN,US-MO,US-MT,US-NE,US-NM,US-ND,US-OK,US-SD,US-TX,US-WY",spp_dam,SPPNORTH_HUB,spp:DA-LMP-SL,https://portal.spp.org/file-browser-api/download/da-lmp-by-settlement-location?path=/2026/08/By_Day/DA-LMP-SL-202608270100.csv,2026-09-25T06:59:58Z,
spp:SPPNORTH_HUB,lmp_dam,2026-08-27T18:00:00Z,55.9172,USD/MWh,PT1H,"US-AR,US-IA,US-KS,US-LA,US-MN,US-MO,US-MT,US-NE,US-NM,US-ND,US-OK,US-SD,US-TX,US-WY",spp_dam,SPPNORTH_HUB,spp:DA-LMP-SL,https://portal.spp.org/file-browser-api/download/da-lmp-by-settlement-location?path=/2026/08/By_Day/DA-LMP-SL-202608270100.csv,2026-09-25T06:59:58Z,
spp:SPPNORTH_HUB,lmp_dam,2026-08-27T19:00:00Z,64.5906,USD/MWh,PT1H,"US-AR,US-IA,US-KS,US-LA,US-MN,US-MO,US-MT,US-NE,US-NM,US-ND,US-OK,US-SD,US-TX,US-WY",spp_dam,SPPNORTH_HUB,spp:DA-LMP-SL,https://portal.spp.org/file-browser-api/download/da-lmp-by-settlement-location?path=/2026/08/By_Day/DA-LMP-SL-202608270100.csv,2026-09-25T06:59:58Z,
